"","RPT_no","Provider_no","Bed_days_avail","Year","Hospital_days","Occupancy_rate"
"1",1680,"423026",32120,2011,15905,0.495174346201743
"2",9247,"423028",17288,2011,14604,0.844747801943545
"3",516335,"422006",12775,2011,7666,0.600078277886497
"4",516413,"424006",29200,2011,20938,0.717054794520548
"5",516414,"424007",8030,2011,5230,0.651307596513076
"6",516415,"424008",27034,2011,26474,0.97928534438115
"7",516505,"424002",18980,2011,17067,0.899209694415174
"8",520000,"422007",14600,2011,11819,0.809520547945205
"9",522595,"424010",40880,2011,33986,0.831360078277886
"10",526199,"422009",11712,2011,10028,0.856215846994536
"11",530508,"422005",19764,2011,9756,0.493624772313297
"12",532940,"420054",34404,2011,4342,0.126206255086618
"13",533708,"424005",131760,2011,125535,0.952755009107468
"14",533709,"424011",44286,2011,40386,0.911936052025471
"15",534779,"422008",16425,2011,8566,0.521522070015221
"16",536719,"420080",33945,2011,19217,0.566121667403152
"17",537241,"420010",42340,2011,19643,0.46393481341521
"18",537676,"420043",45625,2011,14037,0.307660273972603
"19",538801,"420027",130178,2011,84629,0.650102167801011
"20",539022,"420005",22995,2011,10149,0.441356816699282
"21",539126,"420089",51100,2011,17681,0.34600782778865
"22",539148,"421300",9125,2011,3207,0.351452054794521
"23",539247,"420036",59495,2011,27794,0.467165308009076
"24",539336,"420062",21594,2011,8458,0.39168287487265
"25",539354,"420098",45260,2011,29663,0.655391073795846
"26",539515,"420048",43435,2011,25720,0.5921491884425
"27",539516,"420049",61320,2011,35970,0.586594911937378
"28",539938,"420072",11680,2011,3689,0.31583904109589
"29",539939,"420101",14965,2011,5050,0.337454059472102
"30",539946,"420057",17885,2011,7317,0.409113782499301
"31",540724,"420007",166344,2011,145664,0.875679315154138
"32",541257,"420068",91615,2011,50830,0.554821808655788
"33",541426,"420039",21535,2011,9755,0.452983515207801
"34",541516,"420015",32485,2011,21432,0.659750654148068
"35",541582,"420103",17520,2011,5309,0.303025114155251
"36",541585,"420009",46411,2011,30012,0.646657042511474
"37",541587,"420055",34310,2011,14011,0.408364908190032
"38",541588,"420066",10248,2011,2905,0.283469945355191
"39",541726,"420064",43070,2011,15480,0.35941490596703
"40",541727,"420073",130305,2011,96386,0.739695330186869
"41",541748,"420070",76650,2011,64334,0.839321591650359
"42",541750,"423030",12410,2011,10767,0.867606768734891
"43",541936,"420011",15330,2011,3999,0.260861056751468
"44",541938,"420053",32940,2011,8984,0.272738312082574
"45",541939,"421301",9125,2011,2640,0.289315068493151
"46",542056,"420104",32928,2011,5256,0.159620991253644
"47",542208,"420069",17885,2011,10721,0.599440872239307
"48",542220,"420018",229304,2011,180834,0.788621218993127
"49",549182,"421302",9125,2011,2946,0.322849315068493
"50",549326,"420087",115340,2011,69798,0.605149991329981
"51",549327,"420065",74460,2011,36825,0.494560838033844
"52",553280,"420083",54900,2011,27945,0.509016393442623
"53",553429,"423025",35040,2011,20242,0.577682648401826
"54",553524,"423027",16790,2011,12468,0.742584871947588
"55",553789,"423029",16425,2011,15126,0.920913242009132
"56",557358,"420056",21535,2011,2254,0.104666821453448
"57",561820,"420079",147498,2011,91897,0.623038956460427
"58",564438,"420016",10950,2011,2622,0.239452054794521
"59",568651,"420019",29930,2011,4858,0.162312061476779
"60",571781,"420086",105485,2011,80062,0.758989429776746
"61",572079,"420030",43623,2011,20674,0.473924305985375
"62",573535,"420033",21170,2011,13323,0.629333963155409
"63",573536,"420037",15695,2011,6668,0.424848677922905
"64",573537,"420102",28470,2011,2402,0.084369511766772
"65",574687,"421304",9125,2011,3709,0.406465753424658
"66",577177,"420004",227112,2011,183743,0.809041354045581
"67",579691,"420023",116754,2011,82763,0.708866505644346
"68",581832,"420020",47815,2011,24253,0.507225765973021
"69",595344,"420085",82990,2011,68760,0.828533558260031
"70",595705,"420002",98088,2011,66418,0.677126661773102
"71",600094,"420082",58299,2011,47516,0.815039709085919
"72",608469,"420051",179945,2011,122616,0.681408208063575
"73",618228,"420071",114610,2011,59313,0.517520286187942
"74",618229,"420026",114610,2011,58263,0.508358781956199
"75",618936,"421303",9125,2011,4377,0.479671232876712
